	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU6304	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
OTU6305	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	
OTU6306	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gnavus group	
OTU6307	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	[Clostridium] innocuum group	
OTU6308	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella	
OTU6309	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria		
OTU6310	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	
OTU6311	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
OTU6312	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Afipia	
OTU6313	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium	
OTU6314	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	
OTU6315	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
OTU6316	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
OTU6317	Bacteria	Actinomycetota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
OTU6318	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
OTU6319	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
OTU6320	Eukaryota						
OTU6321	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Papillibacter	
OTU6322	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae		
OTU6323	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales			
OTU6324	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
OTU6325	Eukaryota						
OTU6326	Eukaryota						
OTU6327	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	
OTU6328	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	
OTU6329	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	
OTU6330	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
OTU6331	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	
OTU6332	Eukaryota						
OTU6333	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Mesorhizobium	
OTU6334	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae		
OTU6335	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae		
